sku,name,manufacturer,category,package_raw,price,attributes,package_quantity,package_unit,currency,description,specs
PO-10069,Mix do PCR 2x,PolyLab Systems,PCR reagents,x50,350,"przechowywanie 4C, chronic przed swiatlem",50.0,pcs,PLN,,[]
PO-10079,Polimeraza Taq,PolyLab Systems,PCR reagents,50 szt.,2769,wymaga suchego lodu przy transporcie,50.0,pcs,PLN,,[]
PO-10088,Zestaw do qPCR z sonda TaqMan,PolyLab Systems,PCR reagents,50 rxn,1883,temp. pokojowa,50.0,pcs,PLN,,[]
PO-10093,Master Mix do RT-PCR,PolyLab Systems,PCR reagents,50-pack,3399,termin waznosci 12 mies. od daty produkcji,50.0,package,PLN,,[]
PO-10093A,Master Mix do RT-PCR,PolyLab Systems,PCR reagents,50-pack,3399,termin waznosci 12 mies. od daty produkcji,50.0,package,PLN,,[]
PO-10102,Bufor PCR 10x,PolyLab Systems,PCR reagents,50 test.,2413,przechowywanie -20C,50.0,pcs,PLN,,[]
PO-10108,dNTP Mix 10mM,PolyLab Systems,PCR reagents,50 szt.,265,,50.0,pcs,PLN,,[]
PO-10117,Startery losowe do RT,PolyLab Systems,PCR reagents,50szt,2317,wymaga suchego lodu przy transporcie,50.0,pcs,PLN,,[]
PO-10125,Odczynnik SYBR Green,PolyLab Systems,PCR reagents,50 rxn,898,wymaga suchego lodu przy transporcie,50.0,pcs,PLN,,[]
PO-10132,Zestaw do multiplex PCR,PolyLab Systems,PCR reagents,50 rxn,262,przechowywanie -20C,50.0,pcs,PLN,,[]
PO-10140,Probowki PCR 0.2ml,PolyLab Systems,Laboratory Plasticware,10 op,1396,przechowywanie -20C,10.0,package,PLN,,[]
PO-10149,Koncowki do pipet 200ul,PolyLab Systems,Laboratory Plasticware,10 kg,1342,wymaga suchego lodu przy transporcie,10.0,kg,PLN,,[]
PO-10156,Plytki 96-dolkowe,PolyLab Systems,Laboratory Plasticware,100 g,551.00,wymaga suchego lodu przy transporcie,100.0,g,PLN,,[]
PO-10162,Probowki Eppendorf 1.5ml,PolyLab Systems,Laboratory Plasticware,100 op,3271,"przechowywanie 4C, chronic przed swiatlem",100.0,package,PLN,,[]
PO-10171,Koncowki filtrowe 10ul,PolyLab Systems,Laboratory Plasticware,25 ml,324,wymaga suchego lodu przy transporcie,25.0,ml,PLN,,[]
PO-10178,Plytki PCR 96-dolkowe,PolyLab Systems,Laboratory Plasticware,25 op,3440,termin waznosci 12 mies. od daty produkcji,25.0,package,PLN,,[]
PO-10192,Probowki wirowkowe 50ml,PolyLab Systems,Laboratory Plasticware,10 ml,1323,termin waznosci 12 mies. od daty produkcji,10.0,ml,PLN,,[]
PO-10198,Koncowki do pipet 1000ul,PolyLab Systems,,10 kg,4224,wymaga suchego lodu przy transporcie,10.0,kg,PLN,,[]
PO-10206,Termocykler PCR,PolyLab Systems,Measuring Equipment,10 op,2931,,10.0,package,PLN,,[]
PO-10215,Pipeta automatyczna 100-1000ul,PolyLab Systems,Measuring Equipment,100 -,889,"przechowywanie 4C, chronic przed swiatlem",100.0,,PLN,,[]
PO-10235,Spektrofotometr NanoDrop,PolyLab Systems,Measuring Equipment,100 g,2095,,100.0,g,PLN,,[]
PO-10244,Wirowka laboratoryjna,PolyLab Systems,Measuring Equipment,25 ml,3221,termin waznosci 12 mies. od daty produkcji,25.0,ml,PLN,,[]
PO-10251,Czytnik plytek ELISA,PolyLab Systems,Measuring Equipment,1 szt,3348,przechowywanie -20C,1.0,pcs,PLN,,[]
PO-10259,pH-metr stolowy,PolyLab Systems,Measuring Equipment,25 op,1680,termin waznosci 12 mies. od daty produkcji,25.0,package,PLN,,[]
PO-10268,Termostat blokowy,PolyLab Systems,,10 kg,1277.00,"przechowywanie 4C, chronic przed swiatlem",10.0,kg,PLN,,[]
PO-10277,Vortex laboratoryjny,PolyLab Systems,Measuring Equipment,25 -,2683,termin waznosci 12 mies. od daty produkcji,25.0,,PLN,,[]
PO-10288,Etanol absolutny cz.d.a.,PolyLab Systems,Laboratory Chemicals,50 ml,815,,50.0,ml,PLN,,[]
PO-10296,Chloroform cz.d.a.,PolyLab Systems,Laboratory Chemicals,5 -,3974,temp. pokojowa,5.0,,PLN,,[]
PO-10305,Bufor TE 1x,PolyLab Systems,Laboratory Chemicals,5 szt,4320,przechowywanie -20C,5.0,pcs,PLN,,[]
PO-10314,Woda wolna od nukleaz,PolyLab Systems,Laboratory Chemicals,100 l,4260,,100.0,l,PLN,,[]
PO-10319,Izopropanol cz.d.a.,PolyLab Systems,Laboratory Chemicals,10 op,2250,wymaga suchego lodu przy transporcie,10.0,package,PLN,,[]
PO-10337,SDS 10% roztwor,PolyLab Systems,Laboratory Chemicals,10 g,2337.00,,10.0,g,PLN,,[]
PO-10346,Agaroza do elektroforezy,PolyLab Systems,,25 ml,3799,,25.0,ml,PLN,,[]
PO-10355,Bufor PBS 1x,PolyLab Systems,Laboratory Chemicals,50 g,2177,temp. pokojowa,50.0,g,PLN,,[]
